通州区,19,1,0
怀化,40,40,0
文昌,3,3,0
泰州,37,37,0
白城,1,0,0
阳泉,4,4,0
阜新,8,8,0
温州,504,456,1
威海,38,34,0
三明,14,12,0
枣庄,24,23,0
万盛经开区,1,1,0
驻马店,139,139,0
宣城,6,4,0
河西区,4,4,0
郑州,157,146,5
三门峡,7,6,1
永州,44,43,0
济南,47,32,0
周口,76,69,1
临沧,1,1,0
丹东,8,7,0
江门,23,13,0
晋中,37,29,0
上饶,123,116,0
密云区,7,0,0
鸡西,46,35,0
遂宁,17,15,0
朝阳,6,4,0
景德镇,6,4,0
湘西自治州,8,8,0
萍乡,33,25,0
新余,130,121,0
巫溪县,14,13,0
吉林市,5,5,0
咸宁,836,735,12
南通,40,37,0
巫山县,10,9,0
杭州,169,165,0
天水,12,12,0
黄山,9,8,0
台州,146,112,0
盐城,27,27,0
青岛,60,58,1
巴中,24,16,0
乌鲁木齐,23,21,0
待明确地区,0,2,2
乌海市,2,2,0
合肥,174,153,1
渝中区,20,18,0
金昌,1,1,0
攀枝花,16,16,0
巴南区,6,4,0
河池,28,10,1
镇江,12,11,0
咸阳,17,16,0
